-12.03,-49.43,74.81,-59.61,Red,-33.83,-3.60743e+07
-89.49,19.09,10.34,95.71,Red,-21.97,7.17604e+06
-26.02,70.11,-62.13,-43.1,Blue,41.41,2.5293e+07
69.39,5.35,-9.81,-75.78,Blue,-92.45,1.54446e+08
-35.27,94.12,5.15,97.81,Green,17.45,-6.26133e+07
3.85,13.34,3.43,-66.21,Red,-27.01,3.17891e+07
-79.64,6.89,-37.96,-54.98,Blue,71.96,4.50352e+07
-39.54,27.58,-23.65,-31.86,Green,-9.71,1.15209e+07
13.38,-12.74,90.35,76.65,Red,31.05,-1.06276e+08
76.08,-30.45,3.96,-30.79,Red,49.18,1.24461e+07
2.26,19.44,23.27,-45.37,Red,-16.63,1.25861e+07
-95.88,23.55,-53.98,75.67,Blue,-95.35,-3.23192e+07
91.49,-29.09,-54.08,45.57,Blue,-66.9,-7.74191e+07
-73.74,10.35,-70.39,-60.99,Green,-22.92,1.0216e+08
-70.36,-56.84,-44.33,4.82,Green,-23.33,3.45776e+07
-49.73,-14.54,-71.47,15.6,Blue,-85.93,1.21902e+07
91.69,-68.17,-27.47,29.94,Green,-47.28,-5.39861e+07
-13.19,90.48,0.79,-31.35,Green,12.27,-4.06072e+07
-32.19,-47.51,11.78,-25.7,Blue,-24.67,8.90992e+06
-62.57,10.06,-73.42,43.38,Green,-39.54,3.20245e+07
-82.38,-87.17,-34.26,22.46,Blue,-68.21,91166.6
-89.65,-26.13,-50.74,74.87,Blue,-95.81,-7.55884e+07
-99.52,54.61,-81.02,70.17,Green,5.03,1.75446e+08
-86.19,62.31,41.92,27.64,Blue,-82.46,-1.35162e+08
58.8,-71.89,-86.14,78.51,Green,-85.71,-1.12759e+08
20.84,-24.19,-42.73,-83.77,Blue,-4.22,2.42065e+07
81.95,84.96,18.23,-31.37,Red,54.48,-9.86201e+06
96.01,7.49,-25.77,-14.96,Blue,96.47,4.46491e+07
-15.68,45.1,72.96,-45.83,Blue,-87.92,6.31092e+07
-62.44,7.29,38.62,-67.93,Blue,-89.68,9.63862e+07
-44.28,-65.68,-79.87,20.45,Green,26.01,1.81271e+07
49.42,24.45,-61.82,-39.62,Red,68.12,4.50675e+07
82.17,-50.73,-14.76,33.89,Red,-31.83,-5.17107e+07
57.62,86.4,-2.29,-9.32,Blue,69.64,-1.2192e+06
-93.27,-17.19,-71.58,-53.78,Blue,-17,1.30299e+08
-14.19,-12.84,-64.61,-98.09,Red,-85.64,2.29126e+08
25.78,-15.66,-36.37,-21.9,Green,52.73,1.19331e+07
-2.49,-95.08,-96.31,-6.48,Green,41.76,1.04663e+08
-14.06,2.44,-70.61,-96.44,Green,13.43,6.049e+07
-48.55,-38.87,-88.81,-20.44,Blue,-74.88,3.72439e+07
-93.11,-51.19,-95.63,-64,Blue,-62.13,1.70943e+08
-95.54,-61.84,49.83,-73.09,Red,85.31,1.44945e+08
64.1,-49.87,73.91,-14.7,Red,5.86,-6.15831e+07
-49.75,57.36,-62.7,-38.01,Green,96.81,-1.08327e+07
4.06,2.73,-95.9,-72.13,Blue,-72.43,1.76789e+08
-19.17,18.23,7.5,54.47,Green,8.54,-4.23013e+06
68.3,-39.74,6.03,-75.61,Blue,-91.68,8.43648e+07
-29.06,-65.24,82.53,95.78,Red,-45.24,-1.22623e+08
-74.23,33.43,-27.35,-30.1,Red,-3.16,3.98782e+07
94.03,3.57,-4.2,-87.93,Blue,-98.71,1.70313e+08
-18.52,-33.59,-90.49,30.87,Blue,13.31,-6.09384e+06
94.86,-44.44,-45.55,-42.02,Red,93.9,1.37455e+08
-40.95,9.44,-77.64,-28.31,Red,3.78,3.19411e+07
87.47,64.83,-31.85,-5.61,Green,-44.1,-6.65499e+07
-73.6,-6.21,15.45,-17.22,Blue,81.69,-1.06036e+07
-40.4,55.13,38.63,-31.69,Green,-56.69,-8.10821e+06
-37.29,2.16,-57.61,-67.93,Blue,-20.15,5.25907e+07
-96.52,-1.37,61.96,50.1,Green,-56.51,-4.51226e+07
-44.86,45.59,25.45,11.81,Green,-91.69,-4.50934e+07
-10.94,-22.98,73.54,-15.29,Red,-21.83,-2.33141e+07
-74.77,13.69,-10.53,0.19,Blue,-16.75,2.52598e+07
-15.54,21.22,17.06,-48.65,Blue,8.97,1.12788e+07
-96.6,-1.03,59.56,71.53,Blue,-14.92,-3.257e+06
